Restoran_Adi,Yorum,Restoran_Link
Etiler Çardak Döner,Keşke biraz daha sıcak gelebilse yoksa her şey müthiş,https://www.yemeksepeti.com/restaurant/zqz5/etiler-cardak-doner-zqz5
Etiler Çardak Döner,Çok pahalı ama güzel,https://www.yemeksepeti.com/restaurant/zqz5/etiler-cardak-doner-zqz5
Etiler Çardak Döner,"200 metre mesafen sipariş verdim, çok soguk geldi",https://www.yemeksepeti.com/restaurant/zqz5/etiler-cardak-doner-zqz5
Dönerci Celal Usta,En sevdiğim iskender,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Kurye cok kibar ve nazikti. Tesekkur ederiz.,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,"Çok lezzetliydi, siparişimizi çok hızlı getiren kuryenize teşekkür ederiz",https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Umut beye teşekkürler,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Dürümün lezzeti iyiydi. Notları da dikkate alıyolar. Kurye çok kibardı. Elinize sağlık,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Kurye çok kibardı teşekkürler,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Çok iyiydi yediğim en iyi et dönerlerden biriydi 🫶🏻,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Sıcacık geldi getiren arkadaşın nezaketi için de ayrıca teşekkürler,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,iyi hoş ama geç geliyor,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,"Hızlıydı, çok teşekkür ederiz. Allah kolaylık versin.",https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Güzeldi. Notlar okunmuştu.,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Celal ağa sosu iyileştirmen lazım,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,"son zamanlarda yediğim en lezzetli iskender. sosu bol ve güzel, yoğurt kapalı paket, yanında salata, ekstra turşu ve lavaş ile keyifli bir yemek oldu. elinize sağlık. joker çıktığında kaçırmayın",https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Mükemmel hız mükemmel lezzet teşekkürler Celal Usta,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,"Gerçekten güzel ve kaliteli idi, porsiyonu da doyurucuydu. Teşekkürler.",https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,11dk geldi muhteşem lezzetliydi,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,"Paketleme, döner, lavaş miktarı hepsi güzel lakin patatesler genelde karamış ve sert idi. Porsiyon fiyata göre makul.",https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Döneri bi tık azdı daha çok soğan lavaş gibiydide neyse,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Kurye çok hızlıydı dönerde çok iyiydi,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Gerçekten lezzetli ve porsiyonu büyük bir dönerdi. Kurye de hızlı getirdi.,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,"Hızlı, sıcak, süper. Birseyler değişmiş belli teşekkürler",https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,"döner her zamanki gibi çok güzeldi ama yanındaki salata ikramınız bayat ve kokuyordu. bayat salata gönderecekseniz, hiç göndermeyin, sadece döneri gönderin yeter",https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,güzel lezzetli eti,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Yemek her ne kadar lezzetli olsa buz gibi geldi.,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,"Patates çok kötüydü :( Döneri lezzetli ama garnitür olarak soğan gönderilmesini rica ettim yoktu, üzdü. Ücretsiz diye eklemiyorsanız da keşke kuru soğan sumaklı yan ürün diye ücretiyle ekleseniz.",https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,"Döner çok değişken, gidip alınca iyi.",https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,"Döner iyi ama çok da iyi değil, fiyat yüksek. F/P olarak ortalama",https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,Pahalı,https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
Dönerci Celal Usta,"vasat hatta vasatın altında, sıradan bir büfedeki dönerden daha iyi degil",https://www.yemeksepeti.com/restaurant/sodr/donerci-celal-usta-sodr
